name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
AMD FX-4150 Quad-Core,CPU Passmark score 4643,0.0,CPUs,AMD FX-4150 Quad-Core - CPU Passmark score 4643,,,,False,1006
Intel Xeon W3550 @ 3.07GHz,CPU Passmark score 4632 - Price is last known price,323.99,CPUs,Intel Xeon W3550 @ 3.07GHz - CPU Passmark score 4632,,,,True,1005
AMD Phenom II X4 975,CPU Passmark score 4628 - Price is last known price,129.99,CPUs,AMD Phenom II X4 975 - CPU Passmark score 4628,,,,True,1004
AMD A10-6790K APU,CPU Passmark score 4622,129.99,CPUs,AMD A10-6790K APU - CPU Passmark score 4622,,,,True,1003
Intel Xeon X3370 @ 3.00GHz,CPU Passmark score 4608 - Price is last known price,365.5,CPUs,Intel Xeon X3370 @ 3.00GHz - CPU Passmark score 4608,,,,True,1002
Intel Xeon E5-2609 @ 2.40GHz,CPU Passmark score 4602,299.99,CPUs,Intel Xeon E5-2609 @ 2.40GHz - CPU Passmark score 4602,,,,True,1001
Intel Xeon E5520 @ 2.27GHz,CPU Passmark score 4587,94,CPUs,Intel Xeon E5520 @ 2.27GHz - CPU Passmark score 4587,,,,True,1000
AMD Athlon X4 760K Quad Core,CPU Passmark score 4586,0.0,CPUs,AMD Athlon X4 760K Quad Core - CPU Passmark score 4586,,,,False,999
Intel Core i5-4288U @ 2.60GHz,CPU Passmark score 4583,0.0,CPUs,Intel Core i5-4288U @ 2.60GHz - CPU Passmark score 4583,,,,False,998
Intel Core i7-3520M @ 2.90GHz,CPU Passmark score 4561,0.0,CPUs,Intel Core i7-3520M @ 2.90GHz - CPU Passmark score 4561,,,,False,997
AMD Phenom II X4 B65,CPU Passmark score 4558,0.0,CPUs,AMD Phenom II X4 B65 - CPU Passmark score 4558,,,,False,996
Intel Core i5-3470T @ 2.90GHz,CPU Passmark score 4556 - Price is last known price,234.95,CPUs,Intel Core i5-3470T @ 2.90GHz - CPU Passmark score 4556,,,,True,995
Intel Core i5-4300M @ 2.60GHz,CPU Passmark score 4551,0.0,CPUs,Intel Core i5-4300M @ 2.60GHz - CPU Passmark score 4551,,,,False,994
Intel Core i3-4330T @ 3.00GHz,CPU Passmark score 4547,0.0,CPUs,Intel Core i3-4330T @ 3.00GHz - CPU Passmark score 4547,,,,False,993
AMD A8-6500B APU,CPU Passmark score 4532,0.0,CPUs,AMD A8-6500B APU - CPU Passmark score 4532,,,,False,992
AMD A8-6500 APU,CPU Passmark score 4528,104.99,CPUs,AMD A8-6500 APU - CPU Passmark score 4528,,,,True,991
AMD Opteron 2431,CPU Passmark score 4516 - Price is last known price,814.81,CPUs,AMD Opteron 2431 - CPU Passmark score 4516,,,,True,990
AMD Phenom II X4 970,CPU Passmark score 4514 - Price is last known price,124.99,CPUs,AMD Phenom II X4 970 - CPU Passmark score 4514,,,,True,989
Intel Xeon X5460 @ 3.16GHz,CPU Passmark score 4500 - Price is last known price,999.99,CPUs,Intel Xeon X5460 @ 3.16GHz - CPU Passmark score 4500,,,,True,988
Intel Core i3-3245 @ 3.40GHz,CPU Passmark score 4464,145.99,CPUs,Intel Core i3-3245 @ 3.40GHz - CPU Passmark score 4464,,,,True,987
Intel Core i3-3250 @ 3.50GHz,CPU Passmark score 4407,149.99,CPUs,Intel Core i3-3250 @ 3.50GHz - CPU Passmark score 4407,,,,True,986
Intel Core i3-3225 @ 3.30GHz,CPU Passmark score 4391,134.98,CPUs,Intel Core i3-3225 @ 3.30GHz - CPU Passmark score 4391,,,,True,985
Intel Xeon X3440 @ 2.53GHz,CPU Passmark score 4377 - Price is last known price,249.99,CPUs,Intel Xeon X3440 @ 2.53GHz - CPU Passmark score 4377,,,,True,984
Intel Core2 Extreme X9650 @ 3.00GHz,CPU Passmark score 4375 - Price is last known price,998.95,CPUs,Intel Core2 Extreme X9650 @ 3.00GHz - CPU Passmark score 4375,,,,True,983
AMD A8-5600K APU,CPU Passmark score 4362,94.29,CPUs,AMD A8-5600K APU - CPU Passmark score 4362,,,,True,982
Intel Core X 920 @ 2.00GHz,CPU Passmark score 4361,0.0,CPUs,Intel Core X 920 @ 2.00GHz - CPU Passmark score 4361,,,,False,981
Intel Core i7-4650U @ 1.70GHz,CPU Passmark score 4357,0.0,CPUs,Intel Core i7-4650U @ 1.70GHz - CPU Passmark score 4357,,,,False,980
AMD FX-4200 Quad-Core,CPU Passmark score 4352,79.58,CPUs,AMD FX-4200 Quad-Core - CPU Passmark score 4352,,,,True,979
Intel Xeon L5530 @ 2.40GHz,CPU Passmark score 4351,0.0,CPUs,Intel Xeon L5530 @ 2.40GHz - CPU Passmark score 4351,,,,False,978
Intel Xeon L5520 @ 2.27GHz,CPU Passmark score 4338 - Price is last known price,649.99,CPUs,Intel Xeon L5520 @ 2.27GHz - CPU Passmark score 4338,,,,True,977
Intel Core i7-4600U @ 2.10GHz,CPU Passmark score 4332,0.0,CPUs,Intel Core i7-4600U @ 2.10GHz - CPU Passmark score 4332,,,,False,976
Intel Core i3-3240 @ 3.40GHz,CPU Passmark score 4329,118.99,CPUs,Intel Core i3-3240 @ 3.40GHz - CPU Passmark score 4329,,,,True,975
Intel Core i3-2140 @ 3.50GHz,CPU Passmark score 4325,0.0,CPUs,Intel Core i3-2140 @ 3.50GHz - CPU Passmark score 4325,,,,False,974
AMD Athlon X4 750K Quad Core,CPU Passmark score 4316,79.99,CPUs,AMD Athlon X4 750K Quad Core - CPU Passmark score 4316,,,,True,973
Intel Core i7-3687U @ 2.10GHz,CPU Passmark score 4310,0.0,CPUs,Intel Core i7-3687U @ 2.10GHz - CPU Passmark score 4310,,,,False,972
Intel Core i5-3380M @ 2.90GHz,CPU Passmark score 4307,0.0,CPUs,Intel Core i5-3380M @ 2.90GHz - CPU Passmark score 4307,,,,False,971
AMD Phenom II X4 40,CPU Passmark score 4298 - Price is last known price,120.05,CPUs,AMD Phenom II X4 40 - CPU Passmark score 4298,,,,True,970
