name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
"Intel Xeon E5-4603 (10M Cache, 2.00 GHz, 6.40 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","551.00","Xeon E5 CPUs","4 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4607 (12M Cache, 2.20 GHz, 6.40 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","889.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4610 (15M Cache, 2.40 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","1223.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4617 (15M Cache, 2.90 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","1611.00","Xeon E5 CPUs","6 cores, 130 W","","","","True","1300"
"Intel Xeon E5-4620 (16M Cache, 2.20 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","1611.00","Xeon E5 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4640 (20M Cache, 2.40 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","2730.00","Xeon E5 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4650 (20M Cache, 2.70 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","3616.00","Xeon E5 CPUs","8 cores, 130 W","","","","True","1300"
"Intel Xeon E5-4650L (20M Cache, 2.60 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","3616.00","Xeon E5 CPUs","8 cores, 115 W","","","","True","1300"
"Intel Xeon E5-2603 (10M Cache, 1.80 GHz, 6.40 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","198.00","Xeon E5 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2609 (10M Cache, 2.40 GHz, 6.40 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","294.00","Xeon E5 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2620 (15M Cache, 2.00 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","406.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2630 (15M Cache, 2.30 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","612.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2630L (15M Cache, 2.00 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","662.00","Xeon E5 CPUs","6 cores, 60 W","","","","True","1300"
"Intel Xeon E5-2637 (5M Cache, 3.00 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","885.00","Xeon E5 CPUs","2 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2640 (15M Cache, 2.50 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","885.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2643 (10M Cache, 3.30 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","885.00","Xeon E5 CPUs","4 cores, 130 W","","","","True","1300"
"Intel Xeon E5-2650 (20M Cache, 2.00 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1107.00","Xeon E5 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2650L (20M Cache, 1.80 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1107.00","Xeon E5 CPUs","8 cores, 70 W","","","","True","1300"
"Intel Xeon E5-2660 (20M Cache, 2.20 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1333.00","Xeon E5 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2665 (20M Cache, 2.40 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1440.00","Xeon E5 CPUs","8 cores, 115 W","","","","True","1300"
"Intel Xeon E5-2667 (15M Cache, 2.90 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1552.00","Xeon E5 CPUs","6 cores, 130 W","","","","True","1300"
"Intel Xeon E5-2670 (20M Cache, 2.60 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1552.00","Xeon E5 CPUs","8 cores, 115 W","","","","True","1300"
"Intel Xeon E5-2680 (20M Cache, 2.70 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1723.00","Xeon E5 CPUs","8 cores, 130 W","","","","True","1300"
"Intel Xeon E5-2687W (20M Cache, 3.10 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1885.00","Xeon E5 CPUs","8 cores, 150 W","","","","True","1300"
"Intel Xeon E5-2690 (20M Cache, 2.90 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","2057.00","Xeon E5 CPUs","8 cores, 135 W","","","","True","1300"
"Intel Xeon E5-2403 (10M Cache, 1.80 GHz, 6.40 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","195.00","Xeon E5 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2407 (10M Cache, 2.20 GHz, 6.40 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","250.00","Xeon E5 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2420 (15M Cache, 1.90 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","387.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2430 (15M Cache, 2.20 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","551.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2430L (15M Cache, 2.00 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","662.00","Xeon E5 CPUs","6 cores, 60 W","","","","True","1300"
"Intel Xeon E5-2440 (15M Cache, 2.40 GHz, 7.20 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","832.00","Xeon E5 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2450 (20M Cache, 2.10 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","1107.00","Xeon E5 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2450L (20M Cache, 1.80 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","1107.00","Xeon E5 CPUs","8 cores, 70 W","","","","True","1300"
"Intel Xeon E5-2470 (20M Cache, 2.30 GHz, 8.00 GT/s Intel QPI)","Scraped from ark, Launched: Q2'12","1440.00","Xeon E5 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-1620 (10M Cache, 3.60 GHz, 0.0 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","294.00","Xeon E5 CPUs","4 cores, 130 W","","","","True","1300"
"Intel Xeon E5-1650 (12M Cache, 3.20 GHz, 0.0 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","583.00","Xeon E5 CPUs","6 cores, 130 W","","","","True","1300"
"Intel Xeon E5-1660 (15M Cache, 3.30 GHz, 0.0 GT/s Intel QPI)","Scraped from ark, Launched: Q1'12","1080.00","Xeon E5 CPUs","6 cores, 130 W","","","","True","1300"
"Intel Xeon E5-1428L (15M Cache, 1.8 GHz)","Scraped from ark, Launched: Q2'12","480.00","Xeon E5 CPUs","6 cores, 60 W","","","","True","1300"
