name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
"Intel Xeon E5-4603 v2 (10M Cache, 2.20 GHz)","Scraped from ark, Launched: Q1'14","551.00","Xeon E5 v2 CPUs","4 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4607 v2 (15M Cache, 2.60 GHz)","Scraped from ark, Launched: Q1'14","885.00","Xeon E5 v2 CPUs","6 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4610 v2 (16M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","1219.00","Xeon E5 v2 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4620 v2 (20M Cache, 2.60 GHz)","Scraped from ark, Launched: Q1'14","1611.00","Xeon E5 v2 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4627 v2 (16M Cache, 3.30 GHz)","Scraped from ark, Launched: Q1'14","2108.00","Xeon E5 v2 CPUs","8 cores, 130 W","","","","True","1300"
"Intel Xeon E5-4640 v2 (20M Cache, 2.20 GHz)","Scraped from ark, Launched: Q1'14","2725.00","Xeon E5 v2 CPUs","10 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4650 v2 (25M Cache, 2.40 GHz)","Scraped from ark, Launched: Q1'14","3616.00","Xeon E5 v2 CPUs","10 cores, 95 W","","","","True","1300"
"Intel Xeon E5-4657L v2 (30M Cache, 2.40 GHz)","Scraped from ark, Launched: Q1'14","4394.00","Xeon E5 v2 CPUs","12 cores, 115 W","","","","True","1300"
"Intel Xeon E5-2603 v2 (10M Cache, 1.80 GHz)","Scraped from ark, Launched: Q3'13","202.00","Xeon E5 v2 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2609 v2 (10M Cache, 2.50 GHz)","Scraped from ark, Launched: Q3'13","299.00","Xeon E5 v2 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2620 v2 (15M Cache, 2.10 GHz)","Scraped from ark, Launched: Q3'13","410.00","Xeon E5 v2 CPUs","6 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2630 v2 (15M Cache, 2.60 GHz)","Scraped from ark, Launched: Q3'13","616.00","Xeon E5 v2 CPUs","6 cores, 80 W","","","","True","1300"
"Intel Xeon E5-2630L v2 (15M Cache, 2.40 GHz)","Scraped from ark, Launched: Q3'13","612.00","Xeon E5 v2 CPUs","6 cores, 60 W","","","","True","1300"
"Intel Xeon E5-2637 v2 (15M Cache, 3.50 GHz)","Scraped from ark, Launched: Q3'13","996.00","Xeon E5 v2 CPUs","4 cores, 130 W","","","","True","1300"
"Intel Xeon E5-2640 v2 (20M Cache, 2.00 GHz)","Scraped from ark, Launched: Q3'13","885.00","Xeon E5 v2 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2643 v2 (25M Cache, 3.50 GHz)","Scraped from ark, Launched: Q3'13","1552.00","Xeon E5 v2 CPUs","6 cores, 130 W","","","","True","1300"
"Intel Xeon E5-2650 v2 (20M Cache, 2.60 GHz)","Scraped from ark, Launched: Q3'13","1166.00","Xeon E5 v2 CPUs","8 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2650L v2 (25M Cache, 1.70 GHz)","Scraped from ark, Launched: Q3'13","1219.00","Xeon E5 v2 CPUs","10 cores, 70 W","","","","True","1300"
"Intel Xeon E5-2660 v2 (25M Cache, 2.20 GHz)","Scraped from ark, Launched: Q3'13","1393.00","Xeon E5 v2 CPUs","10 cores, 95 W","","","","True","1300"
"Intel Xeon E5-2667 v2 (25M Cache, 3.30 GHz)","Scraped from ark, Launched: Q3'13","2057.00","Xeon E5 v2 CPUs","8 cores, 130 W","","","","True","1300"
"Intel Xeon E5-2670 v2 (25M Cache, 2.50 GHz)","Scraped from ark, Launched: Q3'13","1556.00","Xeon E5 v2 CPUs","10 cores, 115 W","","","","True","1300"
"Intel Xeon E5-2680 v2 (25M Cache, 2.80 GHz)","Scraped from ark, Launched: Q3'13","1727.00","Xeon E5 v2 CPUs","10 cores, 115 W","","","","True","1300"
