name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
"Intel Xeon E7-8850 v2 (24M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","3059.00","Xeon E7 v2 CPUs","12 cores, 105 W","","","","True","1300"
"Intel Xeon E7-8857 v2 (30M Cache, 3.00 GHz)","Scraped from ark, Launched: Q1'14","3838.00","Xeon E7 v2 CPUs","12 cores, 130 W","","","","True","1300"
"Intel Xeon E7-8870 v2 (30M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","4616.00","Xeon E7 v2 CPUs","15 cores, 130 W","","","","True","1300"
"Intel Xeon E7-8880 v2 (37.5M Cache, 2.50 GHz)","Scraped from ark, Launched: Q1'14","5729.00","Xeon E7 v2 CPUs","15 cores, 130 W","","","","True","1300"
"Intel Xeon E7-8880L v2 (37.5M Cache, 2.20 GHz)","Scraped from ark, Launched: Q1'14","5729.00","Xeon E7 v2 CPUs","15 cores, 105 W","","","","True","1300"
"Intel Xeon E7-8890 v2 (37.5M Cache, 2.80 GHz)","Scraped from ark, Launched: Q1'14","6841.00","Xeon E7 v2 CPUs","15 cores, 155 W","","","","True","1300"
"Intel Xeon E7-8891 v2 (37.5M Cache, 3.20 GHz)","Scraped from ark, Launched: Q1'14","6841.00","Xeon E7 v2 CPUs","10 cores, 155 W","","","","True","1300"
"Intel Xeon E7-8893 v2 (37.5M Cache, 3.40 GHz)","Scraped from ark, Launched: Q1'14","6841.00","Xeon E7 v2 CPUs","6 cores, 155 W","","","","True","1300"
"Intel Xeon E7-4809 v2 (12M Cache, 1.90 GHz)","Scraped from ark, Launched: Q1'14","1223.00","Xeon E7 v2 CPUs","6 cores, 105 W","","","","True","1300"
"Intel Xeon E7-4820 v2 (16M Cache, 2.00 GHz)","Scraped from ark, Launched: Q1'14","1446.00","Xeon E7 v2 CPUs","8 cores, 105 W","","","","True","1300"
"Intel Xeon E7-4830 v2 (20M Cache, 2.20 GHz)","Scraped from ark, Launched: Q1'14","2059.00","Xeon E7 v2 CPUs","10 cores, 105 W","","","","True","1300"
"Intel Xeon E7-4850 v2 (24M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","2837.00","Xeon E7 v2 CPUs","12 cores, 105 W","","","","True","1300"
"Intel Xeon E7-4860 v2 (30M Cache, 2.60 GHz)","Scraped from ark, Launched: Q1'14","3838.00","Xeon E7 v2 CPUs","12 cores, 130 W","","","","True","1300"
"Intel Xeon E7-4870 v2 (30M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","4394.00","Xeon E7 v2 CPUs","15 cores, 130 W","","","","True","1300"
"Intel Xeon E7-4880 v2 (37.5M Cache, 2.50 GHz)","Scraped from ark, Launched: Q1'14","5506.00","Xeon E7 v2 CPUs","15 cores, 130 W","","","","True","1300"
"Intel Xeon E7-4890 v2 (37.5M Cache, 2.80 GHz)","Scraped from ark, Launched: Q1'14","6619.00","Xeon E7 v2 CPUs","15 cores, 155 W","","","","True","1300"
"Intel Xeon E7-2850 v2 (24M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","N/A","Xeon E7 v2 CPUs","12 cores, 105 W","","","","True","1300"
"Intel Xeon E7-2870 v2 (30M Cache, 2.30 GHz)","Scraped from ark, Launched: Q1'14","4227.00","Xeon E7 v2 CPUs","15 cores, 130 W","","","","True","1300"
"Intel Xeon E7-2880 v2 (37.5M Cache, 2.50 GHz)","Scraped from ark, Launched: Q1'14","5339.00","Xeon E7 v2 CPUs","15 cores, 130 W","","","","True","1300"
"Intel Xeon E7-2890 v2 (37.5M Cache, 2.80 GHz)","Scraped from ark, Launched: Q1'14","6451.00","Xeon E7 v2 CPUs","15 cores, 155 W","","","","True","1300"
