name,comment,cost,choicecategory,blurb,supplier,price,multiplier,published,sortorder
"Intel Xeon E3-1220 v3 (8M Cache, 3.10 GHz)","Scraped from ark, Launched: Q2'13","193.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1220L v3 (4M Cache, 1.10 GHz)","Scraped from ark, Launched: Q3'13","193.00","Xeon E3 v3 CPUs","2 cores, 13 W","","","","True","1300"
"Intel Xeon E3-1225 v3 (8M Cache, 3.20 GHz)","Scraped from ark, Launched: Q2'13","213.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1226 v3 (8M Cache, 3.30 GHz)","Scraped from ark, Launched: Q2'14","213.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1230 v3 (8M Cache, 3.30 GHz)","Scraped from ark, Launched: Q2'13","240.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1230L v3 (8M Cache, 1.80 GHz)","Scraped from ark, Launched: Q2'13","250.00","Xeon E3 v3 CPUs","4 cores, 25 W","","","","True","1300"
"Intel Xeon E3-1231 v3 (8M Cache, 3.40 GHz)","Scraped from ark, Launched: Q2'14","250.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1240 v3 (8M Cache, 3.40 GHz)","Scraped from ark, Launched: Q2'13","262.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1240L v3 (8M Cache, 2.00 GHz)","Scraped from ark, Launched: Q2'14","278.00","Xeon E3 v3 CPUs","4 cores, 25 W","","","","True","1300"
"Intel Xeon E3-1241 v3 (8M Cache, 3.50 GHz)","Scraped from ark, Launched: Q2'14","262.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1245 v3 (8M Cache, 3.40 GHz)","Scraped from ark, Launched: Q2'13","276.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1246 v3 (8M Cache, 3.50 GHz)","Scraped from ark, Launched: Q2'14","276.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1265L v3 (8M Cache, 2.50 GHz)","Scraped from ark, Launched: Q2'13","294.00","Xeon E3 v3 CPUs","4 cores, 45 W","","","","True","1300"
"Intel Xeon E3-1270 v3 (8M Cache, 3.50 GHz)","Scraped from ark, Launched: Q2'13","328.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1271 v3 (8M Cache, 3.60 GHz)","Scraped from ark, Launched: Q2'14","328.00","Xeon E3 v3 CPUs","4 cores, 80 W","","","","True","1300"
"Intel Xeon E3-1275 v3 (8M Cache, 3.50 GHz)","Scraped from ark, Launched: Q2'13","350.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1275L v3 (8M Cache, 2.70 GHz)","Scraped from ark, Launched: Q2'14","328.00","Xeon E3 v3 CPUs","4 cores, 45 W","","","","True","1300"
"Intel Xeon E3-1276 v3 (8M Cache, 3.60 GHz)","Scraped from ark, Launched: Q2'14","339.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1280 v3 (8M Cache, 3.60 GHz)","Scraped from ark, Launched: Q2'13","612.00","Xeon E3 v3 CPUs","4 cores, 82 W","","","","True","1300"
"Intel Xeon E3-1281 v3 (8M Cache, 3.70 GHz)","Scraped from ark, Launched: Q2'14","612.00","Xeon E3 v3 CPUs","4 cores, 82 W","","","","True","1300"
"Intel Xeon E3-1285 v3 (8M Cache, 3.60 GHz)","Scraped from ark, Launched: Q2'13","662.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1285L v3 (8M Cache, 3.10 GHz)","Scraped from ark, Launched: Q2'13","774.00","Xeon E3 v3 CPUs","4 cores, 65 W","","","","True","1300"
"Intel Xeon E3-1286 v3 (8M Cache, 3.70 GHz)","Scraped from ark, Launched: Q2'14","662.00","Xeon E3 v3 CPUs","4 cores, 84 W","","","","True","1300"
"Intel Xeon E3-1286L v3 (8M Cache, 3.20 GHz)","Scraped from ark, Launched: Q2'14","774.00","Xeon E3 v3 CPUs","4 cores, 65 W","","","","True","1300"
